No,Year,ODV,ONC,ODD,Order,ID,YID,Species_vi,Species_en,Species_sci,Peri_cm,DBH_cm,Ht_m,Hdc_m,E_m,W_m,S_m,N_m,Quality,Long,Lat,Ghi_chu,Note,Hreg_m,AGB_Hreg,AGB_Ho,AGB_kg
864,2020,17,3,25,12,17_3_25_12,2020_17_3_25_12,Bời lời nhớt,Boi loi nhot,Litsea glutinosa (Lour.) C.B. Rob,35.6,11.3,7,0,0,0,0,0,a,103.801416,22.32173912,0,0,8.481449337,34.22020602,30.42056157,30.42056157
865,2020,17,3,25,15,17_3_25_15,2020_17_3_25_15,Kháo vòng,Khao vong,Macchilus sp,48.2,15.4,11,0,0,0,0,0,a,103.8014109,22.32174332,0,0,10.00980357,72.8982419,77.23853041,77.23853041
866,2020,17,3,25,17,17_3_25_17,2020_17_3_25_17,Côm lá kèm,Com la kem,Elaeocarpus stipularis Blume,41,13.1,13.5,0,0,0,0,0,a,103.8014358,22.3217707,Cung goc,Same stump,9.179669178,49.10230895,62.2014195,62.2014195
867,2020,17,3,25,16,17_3_25_16,2020_17_3_25_16,Côm lá kèm,Com la kem,Elaeocarpus stipularis Blume,47.8,15.2,16.5,0,0,0,0,0,a,103.8014338,22.32177068,Cung goc,Same stump,9.940015691,70.60706494,96.33620906,96.33620906
868,2020,17,3,25,19,17_3_25_19,2020_17_3_25_19,Côm lá kèm,Com la kem,Elaeocarpus stipularis Blume,45,14.3,14.5,0,0,0,0,0,a,103.8014397,22.32177073,0,0,9.620548634,60.82635606,78.22160098,78.22160098
869,2020,17,3,25,20,17_3_25_20,2020_17_3_25_20,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,39.7,12.6,10,0,0,0,0,0,a,103.8014393,22.32178021,0,0,8.990451449,44.6492731,47.65966168,47.65966168
870,2020,17,3,25,25,17_3_25_25,2020_17_3_25_25,Kháo vòng,Khao vong,Macchilus sp,46,14.6,11,0,0,0,0,0,a,103.8014296,22.32183849,Cung goc,Same stump,9.728049529,63.99106633,68.99833343,68.99833343
871,2020,17,3,25,24,17_3_25_24,2020_17_3_25_24,Kháo vòng,Khao vong,Macchilus sp,44.5,14.2,12,0,0,0,0,0,a,103.8014273,22.32183847,Cung goc,Same stump,9.584482511,59.7924664,68.62664046,68.62664046
872,2020,17,3,25,23,17_3_25_23,2020_17_3_25_23,Kháo vòng,Khao vong,Macchilus sp,72,22.9,24,0,0,0,0,0,a,103.8014248,22.32183845,Cung goc,Same stump,12.37801338,192.1638541,288.3864936,288.3864936
873,2020,17,3,25,26,17_3_25_26,2020_17_3_25_26,Côm lá kèm,Com la kem,Elaeocarpus stipularis Blume,55,17.5,15.5,0,0,0,0,0,a,103.8014347,22.32183853,0,0,10.71862914,99.61908826,124.8983082,124.8983082
874,2020,17,3,25,29,17_3_25_29,2020_17_3_25_29,Kháo vòng,Khao vong,Macchilus sp,37.5,11.9,10,0,0,0,0,0,a,103.8014105,22.32182471,Cung goc,Same stump,8.719579732,38.83039997,42.23320498,42.23320498
875,2020,17,3,25,28,17_3_25_28,2020_17_3_25_28,Kháo vòng,Khao vong,Macchilus sp,33.6,10.7,10.5,0,0,0,0,0,a,103.8014082,22.32182469,Cung goc,Same stump,8.237365545,29.95007884,34.75516052,34.75516052
876,2020,17,3,25,30,17_3_25_30,2020_17_3_25_30,Kháo vòng,Khao vong,Macchilus sp,25.5,8.1,8,0,0,0,0,0,b,103.8014128,22.32182472,Cung goc,Same stump,7.097110159,15.17223428,16.32810992,16.32810992
877,2020,17,3,25,27,17_3_25_27,2020_17_3_25_27,Kháo vòng,Khao vong,Macchilus sp,45,14.3,10.5,0,0,0,0,0,a,103.8014056,22.32182467,Cung goc,Same stump,9.620548634,60.82635606,64.17755057,64.17755057
878,2020,17,3,25,31,17_3_25_31,2020_17_3_25_31,Kháo vòng,Khao vong,Macchilus sp,31.8,10.1,9,0,0,0,0,0,a,103.8014152,22.32182474,Cung goc,Same stump,7.986832416,26.01189652,27.98802481,27.98802481
879,2020,17,3,25,32,17_3_25_32,2020_17_3_25_32,Kháo vòng,Khao vong,Macchilus sp,38,12.1,8.5,0,0,0,0,0,a,103.8013858,22.32184196,0,0,8.797710281,40.44407095,39.59939682,39.59939682
880,2020,17,3,25,35,17_3_25_35,2020_17_3_25_35,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,37.9,12.1,8.5,0,0,0,0,0,a,103.8014129,22.32177071,0,0,8.797710281,40.44407095,39.59939682,39.59939682
881,2020,17,3,25,37,17_3_25_37,2020_17_3_25_37,Mạ sưa,Ma sua,Helicia nilagirica Bedd,67.2,21.4,12,0,0,0,0,0,a,103.8013818,22.32176569,Cung goc,Same stump,11.93724251,162.8531738,163.3775564,163.3775564
882,2020,17,3,25,36,17_3_25_36,2020_17_3_25_36,Mạ sưa,Ma sua,Helicia nilagirica Bedd,55.2,17.6,11,0,0,0,0,0,a,103.80138,22.32176568,Cung goc,Same stump,10.75136726,101.0154747,102.4413685,102.4413685
883,2020,17,3,25,38,17_3_25_38,2020_17_3_25_38,Mạ sưa,Ma sua,Helicia nilagirica Bedd,30.7,9.8,8.5,0,0,0,0,0,a,103.8013838,22.32176571,Cung goc,Same stump,7.858972623,24.16467666,25.35472909,25.35472909
884,2020,17,3,25,39,17_3_25_39,2020_17_3_25_39,Vỏ mản,Vo man,Ficus glandulifera Wall,23,7.3,7,0,0,0,0,0,b,103.8013872,22.32174351,0,0,6.712898725,11.76849942,12.07458239,12.07458239
885,2020,17,3,25,42,17_3_25_42,2020_17_3_25_42,Kháo vòng,Khao vong,Macchilus sp,26,8.3,8,0,0,0,0,0,b,103.8013918,22.32171635,Cung goc,Same stump,7.190367949,16.10377836,17.19246493,17.19246493
886,2020,17,3,25,43,17_3_25_43,2020_17_3_25_43,Kháo vòng,Khao vong,Macchilus sp,22.3,7.1,7,0,0,0,0,0,b,103.8013937,22.32171637,Cung goc,Same stump,6.613829446,10.99634131,11.38565685,11.38565685
887,2020,17,3,25,41,17_3_25_41,2020_17_3_25_41,Kháo vòng,Khao vong,Macchilus sp,35.7,11.4,9.5,0,0,0,0,0,a,103.8013894,22.32171634,Cung goc,Same stump,8.521538725,34.96474016,37.37421231,37.37421231
888,2020,17,3,25,40,17_3_25_40,2020_17_3_25_40,Kháo vòng,Khao vong,Macchilus sp,43.1,13.7,10,0,0,0,0,0,a,103.801387,22.32171632,Cung goc,Same stump,9.4023533,54.77915395,56.88843438,56.88843438
889,2020,17,3,25,46,17_3_25_46,2020_17_3_25_46,Dạ nâu,Da nau,Chaetocarpus castanocarpus Thw,71.2,22.7,10,0,0,0,0,0,a,103.8013822,22.32172532,0,0,12.3200361,188.0897002,165.5048821,165.5048821
890,2020,17,3,25,49,17_3_25_49,2020_17_3_25_49,Kháo vòng,Khao vong,Macchilus sp,43.3,13.8,9,0,0,0,0,0,a,103.8014116,22.32169383,0,0,9.439023167,55.76110787,54.15638921,54.15638921
891,2020,17,3,25,50,17_3_25_50,2020_17_3_25_50,Ngát vàng,Ngat vang,Gironniera subaequalis Planch,27.8,8.9,7.5,0,0,0,0,0,a,103.8014118,22.32168922,0,0,7.46404926,19.0975641,19.15390694,19.15390694
892,2020,17,3,25,51,17_3_25_51,2020_17_3_25_51,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,25,8,5.5,0,0,0,0,0,c,103.8013874,22.32169365,Nghieng nam,Lean south,7.050080013,14.71871176,12.64032952,12.64032952
893,2020,17,3,25,52,17_3_25_52,2020_17_3_25_52,Ba soi,Ba soi,Macaranga denticulata,40.2,12.8,13,0,0,0,0,0,b,103.8013778,22.3217074,0,0,9.066549993,46.40050396,57.87268601,57.87268601
894,2020,17,3,25,53,17_3_25_53,2020_17_3_25_53,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,28.6,9.1,6,0,0,0,0,0,c,103.801363,22.32169799,Nghieng dong,Lean east,7.553357849,20.1630271,17.50864731,17.50864731
895,2020,17,3,25,55,17_3_25_55,2020_17_3_25_55,Vỏ mản,Vo man,Ficus glandulifera Wall,24.1,7.7,6.5,0,0,0,0,0,b,103.8013443,22.32167536,0,0,6.907324783,13.40660449,12.91620981,12.91620981
896,2020,17,3,25,58,17_3_25_58,2020_17_3_25_58,Kháo vòng,Khao vong,Macchilus sp,41,13.1,9,0,0,0,0,0,b,103.8013582,22.32171611,0,0,9.179669178,49.10230895,48.51083443,48.51083443
897,2020,17,3,25,59,17_3_25_59,2020_17_3_25_59,Thừng mực lông,Thung muc long,Wrightia pubescens R. Br,26.5,8.4,4,0,0,0,0,0,c,103.8013339,22.32171141,"Cung goc, CN","Same stump, Broken on top",7.236605038,16.58188846,11.52858859,11.52858859
898,2020,17,3,25,60,17_3_25_60,2020_17_3_25_60,Thừng mực lông,Thung muc long,Wrightia pubescens R. Br,20,6.4,4,0,0,0,0,0,c,103.8013361,22.32171143,"Cung goc, CN","Same stump, Broken on top",6.256427016,8.53344592,6.486638808,6.486638808
899,2020,17,3,25,61,17_3_25_61,2020_17_3_25_61,Côm lá kèm,Com la kem,Elaeocarpus stipularis Blume,45,14.3,12.5,0,0,0,0,0,a,103.8013243,22.32169788,0,0,9.620548634,60.82635606,71.41797095,71.41797095
900,2020,17,3,25,62,17_3_25_62,2020_17_3_25_62,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,33.2,10.6,7,0,0,0,0,0,a,103.8013292,22.32168861,0,0,8.196072288,29.27088639,26.57258338,26.57258338
901,2020,17,3,25,63,17_3_25_63,2020_17_3_25_63,Kháo vòng,Khao vong,Macchilus sp,61.5,19.6,13,0,0,0,0,0,a,103.8013146,22.32166204,0,0,11.38889146,131.3951229,142.4981202,142.4981202
902,2020,17,3,25,64,17_3_25_64,2020_17_3_25_64,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,31,9.9,6,0,0,0,0,0,a,103.8013147,22.32167541,0,0,7.901792139,24.7714941,20.92382926,20.92382926
903,2020,17,3,25,65,17_3_25_65,2020_17_3_25_65,Hoắc quang,Hoac quang,Wendlandia paniculata (Roxb.) DC,26.5,8.4,6.5,0,0,0,0,0,a,103.8013034,22.32167975,0,0,7.236605038,16.58188846,15.52566959,15.52566959
